Unnamed: 0,VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_MISSION,TRAVEL_MISSION_CHECK,TRAVEL_MISSION_PRIORITY,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,ADDR,RES_CAFE,VISIT_COUNT,VISIT_AREA_MAIN_TYPE
790527,2209030001,d_d001066,18,켄싱턴리조트 제주중문,2022-09-03 00:00:00,2022-09-04 00:00:00,제주특별자치도 서귀포시 중문관광로72번길 29-29,제주특별자치도 서귀포시 색달동 2822-5,126.412657,33.24751768,,,POI01000000BZ1XNR,한국콘도,150,24,Y,5,4.0,5,5,5,,D01,d001066,2;23;4;5;6;,2022-09-01 00:00:00,2022-09-05 00:00:00,대중교통 등,2;23;4;5;6;,6;22;23,6,41,여,20,6,1,1,1,2.0,,4,,3,2,50,50130,26,26500,27,27290,4,1,1,3,5,2,5,6,경기도,제주,3인 이상 여행(가족 외),2022-09-01~2022-09-04,1,3.0,2.0,3,제주특별자치도 서귀포시 중문관광로72번길 29-29,2,19,24
790546,2209010007,d_d001066,7,돌담흑돼지 중문,2022-09-01 00:00:00,2022-09-01 00:00:00,제주특별자치도 서귀포시 일주서로 909,제주특별자치도 서귀포시 색달동 2272-1,126.4132779,33.25770262,,,,,60,11,N,2,,5,5,5,,D01,d001066,2;23;4;5;6;,2022-09-01 00:00:00,2022-09-05 00:00:00,대중교통 등,2;23;4;5;6;,6;22;23,6,41,여,20,6,1,1,1,2.0,,4,,3,2,50,50130,26,26500,27,27290,4,1,1,3,5,2,5,6,경기도,제주,3인 이상 여행(가족 외),2022-09-01~2022-09-04,1,3.0,2.0,3,제주특별자치도 서귀포시 일주서로 909,0,4,11
790550,2209030002,d_d001066,14,위호텔 야외수영장,2022-09-03 00:00:00,2022-09-03 00:00:00,제주특별자치도 서귀포시 1100로 453-95,제주특별자치도 서귀포시 회수동 30,126.4448129,33.28583642,,,,,180,6,N,2,,5,5,5,,D01,d001066,2;23;4;5;6;,2022-09-01 00:00:00,2022-09-05 00:00:00,대중교통 등,2;23;4;5;6;,6;22;23,6,41,여,20,6,1,1,1,2.0,,4,,3,2,50,50130,26,26500,27,27290,4,1,1,3,5,2,5,6,경기도,제주,3인 이상 여행(가족 외),2022-09-01~2022-09-04,1,3.0,2.0,3,제주특별자치도 서귀포시 1100로 453-95,2,1,6
790551,2209030004,d_d001066,16,켄싱턴리조트 제주중문,2022-09-03 00:00:00,2022-09-03 00:00:00,제주특별자치도 서귀포시 중문관광로72번길 29-29,제주특별자치도 서귀포시 색달동 2822-5,126.412657,33.24751768,,,POI01000000BZ1XNR,한국콘도,60,24,Y,5,4.0,5,5,5,,D01,d001066,2;23;4;5;6;,2022-09-01 00:00:00,2022-09-05 00:00:00,대중교통 등,2;23;4;5;6;,6;22;23,6,41,여,20,6,1,1,1,2.0,,4,,3,2,50,50130,26,26500,27,27290,4,1,1,3,5,2,5,6,경기도,제주,3인 이상 여행(가족 외),2022-09-01~2022-09-04,1,3.0,2.0,3,제주특별자치도 서귀포시 중문관광로72번길 29-29,2,19,24
790570,2209020003,d_d001066,10,귤꽃다락,2022-09-02 00:00:00,2022-09-02 00:00:00,제주특별자치도 서귀포시 이어도로1027번길 34,제주특별자치도 서귀포시 서호동 133,126.5225393,33.24640841,,,,,120,11,N,2,,5,5,5,,D01,d001066,2;23;4;5;6;,2022-09-01 00:00:00,2022-09-05 00:00:00,대중교통 등,2;23;4;5;6;,6;22;23,6,41,여,20,6,1,1,1,2.0,,4,,3,2,50,50130,26,26500,27,27290,4,1,1,3,5,2,5,6,경기도,제주,3인 이상 여행(가족 외),2022-09-01~2022-09-04,1,3.0,2.0,3,제주특별자치도 서귀포시 이어도로1027번길 34,1,13,11
790583,2209010009,d_d001066,8,켄싱턴리조트 제주중문,2022-09-01 00:00:00,2022-09-02 00:00:00,제주특별자치도 서귀포시 중문관광로72번길 29-29,제주특별자치도 서귀포시 색달동 2822-5,126.412657,33.24751768,,,POI01000000BZ1XNR,한국콘도,150,24,Y,5,4.0,5,5,5,,D01,d001066,2;23;4;5;6;,2022-09-01 00:00:00,2022-09-05 00:00:00,대중교통 등,2;23;4;5;6;,6;22;23,6,41,여,20,6,1,1,1,2.0,,4,,3,2,50,50130,26,26500,27,27290,4,1,1,3,5,2,5,6,경기도,제주,3인 이상 여행(가족 외),2022-09-01~2022-09-04,1,3.0,2.0,3,제주특별자치도 서귀포시 중문관광로72번길 29-29,2,19,24
790602,2209010006,d_d001066,6,켄싱턴리조트 제주중문,2022-09-01 00:00:00,2022-09-01 00:00:00,제주특별자치도 서귀포시 중문관광로72번길 29-29,제주특별자치도 서귀포시 색달동 2822-5,126.412657,33.24751768,,,POI01000000BZ1XNR,한국콘도,30,24,N,5,4.0,5,5,5,,D01,d001066,2;23;4;5;6;,2022-09-01 00:00:00,2022-09-05 00:00:00,대중교통 등,2;23;4;5;6;,6;22;23,6,41,여,20,6,1,1,1,2.0,,4,,3,2,50,50130,26,26500,27,27290,4,1,1,3,5,2,5,6,경기도,제주,3인 이상 여행(가족 외),2022-09-01~2022-09-04,1,3.0,2.0,3,제주특별자치도 서귀포시 중문관광로72번길 29-29,2,19,24
790621,2210150002,d_d004399,2,제주샹그릴라호텔앤리조트,2022-10-15 00:00:00,2022-10-15 00:00:00,제주특별자치도 제주시 해안마을북길 14-6,제주특별자치도 제주시 해안동 2101-3,126.4538684,33.46441442,,,POI010000006W44DJ,샹그릴라호텔,120,24,N,8,1.0,2,2,1,,D01,d004399,1;2;,2022-10-15 00:00:00,2022-10-17 00:00:00,자가용,1;2;,2;1;23,2,50,여,30,6,1,2,3,3.0,,1,4.0,3,3,41,41460,11,11215,42,42110,3,2,2,2,3,5,2,6,제주특별자치도,제주,자녀 동반 여행,2022-10-15~2022-10-16,1,3.0,7.0,2,제주특별자치도 제주시 해안마을북길 14-6,2,8,24
790629,2210150004,d_d004399,4,제주샹그릴라호텔앤리조트,2022-10-15 00:00:00,2022-10-16 00:00:00,제주특별자치도 제주시 해안마을북길 14-6,제주특별자치도 제주시 해안동 2101-3,126.4538684,33.46441442,,,POI010000006W44DJ,샹그릴라호텔,330,24,N,8,1.0,2,2,1,,D01,d004399,1;2;,2022-10-15 00:00:00,2022-10-17 00:00:00,자가용,1;2;,2;1;23,2,50,여,30,6,1,2,3,3.0,,1,4.0,3,3,41,41460,11,11215,42,42110,3,2,2,2,3,5,2,6,제주특별자치도,제주,자녀 동반 여행,2022-10-15~2022-10-16,1,3.0,7.0,2,제주특별자치도 제주시 해안마을북길 14-6,2,8,24
790637,2210160003,d_d004399,7,앵무야앵무야,2022-10-16 00:00:00,2022-10-16 00:00:00,제주특별자치도 제주시 미리내길 92,제주특별자치도 제주시 노형동 1892-1,126.4792635,33.45759403,,,POI01000000B34LON,앵무새체험농장,60,13,N,9,,3,2,3,,D01,d004399,1;2;,2022-10-15 00:00:00,2022-10-17 00:00:00,자가용,1;2;,2;1;23,2,50,여,30,6,1,2,3,3.0,,1,4.0,3,3,41,41460,11,11215,42,42110,3,2,2,2,3,5,2,6,제주특별자치도,제주,자녀 동반 여행,2022-10-15~2022-10-16,1,3.0,7.0,2,제주특별자치도 제주시 미리내길 92,2,1,13
