VISIT_AREA_NM,VISIT_AREA_MAIN_TYPE,VISIT_COUNT,VISIT_REASON,RES_CAFE
동선제면가,11,7,"[0.142857, 0.428571, 0.0, 0.142857, 0.142857, 0.0, 0.0, 0.0, 0.142857, 0.0, 0.0]",0
미친게스트하우스,24,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0, 0.0]",2
양주고을부대찌개,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
돈내코손두부,11,4,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
로즈마린,11,4,"[0.25, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
순두부엔짬뽕 서귀포직영점,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
삼보식당,11,3,"[0.666667, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
오르바,11,3,"[0.0, 0.0, 0.0, 0.333333, 0.333333, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0]",1
제주에인감귤밭,11,4,"[0.25, 0.5, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
서귀포항,5,10,"[0.1, 0.0, 0.0, 0.4, 0.1, 0.0, 0.1, 0.0, 0.2, 0.0, 0.1]",2
마틴스키친,11,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
반디왓,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
루프탑정원,24,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",2
호텔홀라인 제주협재점,10,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
해녀고기,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
바당어부펜션,24,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
성아시,11,4,"[0.25, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",0
금능해장국,11,3,"[0.0, 0.0, 0.0, 0.666667, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0]",0
제주부영호텔앤리조트,24,44,"[0.159091, 0.113636, 0.0, 0.181818, 0.0, 0.181818, 0.022727, 0.090909, 0.0, 0.159091, 0.090909]",0
카페이면,11,4,"[0.0, 0.75, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
키아나요가,5,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",2
GS25 제주함덕점,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
동백돼지불백,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
하미,24,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
카페주디,11,5,"[0.2, 0.6, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
아일랜드프로젝트,10,2,"[0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
웨딩카페나비인,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",1
카페141,11,2,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",1
휘닉스제주 민트레스토랑,11,5,"[0.6, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]",0
도치돌목장,13,16,"[0.3125, 0.25, 0.0, 0.0625, 0.1875, 0.0, 0.0, 0.0, 0.0625, 0.0625, 0.0625]",2
보일식당,11,3,"[0.333333, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0]",0
차귀도달래배낚시,13,8,"[0.25, 0.375, 0.125, 0.125, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0]",2
퐁낭댁,24,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
캠핑스토리,24,5,"[0.0, 0.0, 0.0, 0.4, 0.2, 0.0, 0.4, 0.0, 0.0, 0.0, 0.0]",2
인생밥집 한림협재본점,11,4,"[0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
서귀포JS호텔,24,22,"[0.0, 0.227273, 0.0, 0.045455, 0.090909, 0.0, 0.045455, 0.454545, 0.0, 0.0, 0.136364]",2
뜨랑국수,11,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
BBQ 서귀포월드컵점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0
한림보말칼국수,11,5,"[0.0, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0]",0
초밥충전,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
감따남,11,6,"[0.333333, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.166667, 0.0, 0.0, 0.0, 0.166667]",1
돈내코주유소,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
한라산영실휴게소,1,3,"[0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333]",2
솟솟리버스,4,6,"[0.0, 0.166667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.333333]",2
한라산둘레길 안내센터,1,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
교촌치킨 제주탑동점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
한라산둘레길 돌오름길 입구,1,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
제주센트럴파크레지던스,24,7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.285714, 0.0, 0.142857, 0.0, 0.0, 0.571429]",2
소못,11,5,"[0.0, 0.6, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
오지힐 제주점,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
더세븐렌트카,10,5,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.4]",2
제주어멍국수 본점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0
달이머물다 게스트하우스,24,5,"[0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.4, 0.0, 0.0, 0.2]",2
월정리곳간,11,4,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.25, 0.0, 0.0]",0
노을리카페,11,19,"[0.315789, 0.368421, 0.0, 0.0, 0.105263, 0.0, 0.0, 0.0, 0.105263, 0.0, 0.105263]",1
고근산 산책로,7,2,"[0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
장수애섬식당,11,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
송당백년해장국,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
세리바,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
용연교,1,2,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
예그리나,11,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.333333]",1
잉가이,11,3,"[0.0, 0.333333, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0]",0
용이식당,11,10,"[0.2, 0.4, 0.0, 0.0, 0.2, 0.0, 0.0, 0.1, 0.1, 0.0, 0.0]",0
카멜리아힐 베이커리,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
유군짬뽕,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
피노호텔,24,11,"[0.0, 0.181818, 0.0, 0.0, 0.0, 0.363636, 0.0, 0.363636, 0.0, 0.0, 0.090909]",2
네거리식당,11,13,"[0.0, 0.692308, 0.076923, 0.0, 0.230769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
오직흑돼지 공항본점,11,4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
카페톨칸이,11,7,"[0.0, 0.571429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.142857, 0.0, 0.285714]",1
블루메베이글,11,5,"[0.4, 0.0, 0.0, 0.2, 0.4, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
설빙 서귀점,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
삼다수목장,5,3,"[0.333333, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0]",2
피즈버거 노형점,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
산방식당,11,8,"[0.0, 0.125, 0.125, 0.25, 0.375, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0]",0
채집,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
쉴쿠다,24,5,"[0.0, 0.6, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.0]",2
라온쥬,13,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
김선장회센타,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
꺼멍연탄구이,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
제주돔베막국수,11,1,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
투썸플레이스 제주오라우정점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
올레길 6코스(쇠소깍-서귀포 올레),7,8,"[0.875, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0, 0.0]",2
호텔서귀피안,24,4,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.25]",2
기당미술관,3,12,"[0.083333, 0.166667, 0.0, 0.166667, 0.25, 0.083333, 0.0, 0.0, 0.0, 0.166667, 0.083333]",2
테라로사 서귀포점,11,26,"[0.384615, 0.307692, 0.0, 0.115385, 0.115385, 0.038462, 0.0, 0.0, 0.0, 0.0, 0.038462]",0
제주공항렌트카 본사,10,17,"[0.0, 0.352941, 0.058824, 0.117647, 0.0, 0.0, 0.0, 0.352941, 0.0, 0.0, 0.117647]",2
귤품은흑돼지 제주공항점,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
무거버거,11,11,"[0.181818, 0.363636, 0.090909, 0.181818, 0.090909, 0.0, 0.0, 0.0, 0.090909, 0.0, 0.0]",0
솔브레,11,2,"[0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",1
삼다셀프주유소,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
선녀상회,4,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
귤밭에댕댕이 체험농장&공방,13,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
빨간집 성산점,11,2,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
코지펜션,24,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
날씬흑돼지,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]",0
빌라노이제주,24,9,"[0.111111, 0.333333, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.222222, 0.0, 0.0, 0.0]",2
지구상회,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
알동네국수,11,3,"[0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0]",0
새미동산,13,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",2
제주마실게스트하우스,24,9,"[0.0, 0.0, 0.0, 0.111111, 0.0, 0.555556, 0.0, 0.333333, 0.0, 0.0, 0.0]",2
종달수다뜰,11,5,"[0.0, 0.2, 0.0, 0.0, 0.2, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0]",0
동막골 서사라점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
고래의바다,10,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
포시즌호텔,24,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
탐라해동밥상,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
농업회사법인마미포유,4,2,"[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
황금손가락,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
크라운돼지 제주점,11,2,"[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
카페갤러리,11,2,"[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
마니주횟집,11,4,"[0.25, 0.25, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
인섬스토리,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
쉼그대머물다,11,2,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]",0
호돌이식당,11,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
비양봉,1,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
한라산과자점,10,4,"[0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25]",2
감귤박물관,2,19,"[0.210526, 0.105263, 0.0, 0.105263, 0.052632, 0.0, 0.052632, 0.052632, 0.157895, 0.263158, 0.0]",2
제주락,24,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",2
국수앤,11,7,"[0.142857, 0.714286, 0.0, 0.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
지금사계,13,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
바다보는날,11,4,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
이너프,11,3,"[0.333333, 0.333333, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
퓨어스테이오션,24,16,"[0.0, 0.0, 0.0, 0.125, 0.0, 0.25, 0.0625, 0.4375, 0.0, 0.0, 0.125]",2
터낭하우스,24,4,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]",2
비자림국수집,11,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.333333, 0.0, 0.0]",0
오쿠다 공항점,11,2,"[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",0
하도야비어 하도야베드 민박,24,3,"[0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.333333]",2
우니담,11,8,"[0.125, 0.5, 0.125, 0.125, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
메가리조트,24,5,"[0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.6, 0.0, 0.0, 0.0]",2
대문집,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
제주환상전기자전거,13,2,"[0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
안녕하샌,11,4,"[0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]",0
지금이순간,11,4,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",1
김녕농협 하나로미니 월정점,4,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
24시뼈다귀탕 제주점,11,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
세화점방,10,3,"[0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0]",2
올레파머스 월정점,10,5,"[0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0]",2
낙지로,11,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
미유 애월점,10,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
그라벨호텔제주,24,16,"[0.0, 0.25, 0.0, 0.0, 0.125, 0.0625, 0.0625, 0.25, 0.0, 0.0, 0.25]",2
쓩쓩렌탈샵 월정점,5,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
미녀국수 월정본점,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
토끼가 아이스크림 먹고가래,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
누누상점,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
물고기자리게스트하우스,24,6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.666667, 0.0, 0.0, 0.0]",2
런던다락,10,5,"[0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0]",2
제주화연이네,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
다락쉼터,1,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",2
비주비주 한림점,11,4,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25]",0
솔동산고기국수,11,7,"[0.0, 0.428571, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.571429, 0.0, 0.0]",0
오돈가,11,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
회춘 애월점,11,7,"[0.142857, 0.714286, 0.0, 0.0, 0.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
멕시카나치킨 송산천지점,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
바다해호텔,24,6,"[0.0, 0.166667, 0.0, 0.0, 0.0, 0.5, 0.0, 0.333333, 0.0, 0.0, 0.0]",2
언더워터스쿠버,5,3,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
맘스터치 서귀중앙점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
앤티앤스프레즐 제주서귀포점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0
메이비,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",1
언더더씨,5,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
서귀포고기국수,11,4,"[0.25, 0.25, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",0
썬렌트카,10,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.666667, 0.0, 0.0, 0.333333]",2
864펜션,24,7,"[0.0, 0.428571, 0.0, 0.571429, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
신해바라기분식 한라대점,11,3,"[0.333333, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
국밥생각 노형점,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
비아판포,24,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
소소한담,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
하도리오길잘했어,24,3,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
바다상점,10,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
구르메스시,10,2,"[0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
고도,11,3,"[0.0, 0.333333, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0]",0
커피템플,11,9,"[0.222222, 0.222222, 0.0, 0.222222, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
상춘재,11,11,"[0.0, 0.545455, 0.090909, 0.0, 0.363636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
청굴물,1,16,"[0.625, 0.1875, 0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0625, 0.0, 0.0]",2
큰엉식당,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0]",0
달이뜨는식탁,11,7,"[0.142857, 0.571429, 0.0, 0.142857, 0.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
에코티엘,24,9,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2
마라도해녀촌 연동점,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
줄리브 신제주점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
스트라이크존 신제주구장,5,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
제원칼집 본점,11,2,"[0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
88돼지,11,2,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
참베지근,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
원조제원깡통숯불구이,11,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0]",0
훈데스힐즈,6,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
항해진미,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",0
제주신화월드 한라원,11,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333, 0.333333, 0.0, 0.333333]",0
제주향토음식점,11,3,"[0.0, 0.0, 0.0, 0.333333, 0.0, 0.333333, 0.0, 0.0, 0.333333, 0.0, 0.0]",0
창꼼,1,24,"[0.708333, 0.166667, 0.083333, 0.041667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
풍원,11,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
제주신화월드 랜딩다이닝,11,13,"[0.0, 0.076923, 0.0, 0.076923, 0.0, 0.076923, 0.307692, 0.0, 0.076923, 0.0, 0.384615]",0
저지예술정보화마을,7,3,"[0.0, 0.0, 0.0, 0.0, 0.666667, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0]",2
북스토어 아베끄,10,7,"[0.285714, 0.285714, 0.0, 0.285714, 0.142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
해안도로입구 금릉서쪽방면,2,1,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
